0 [1009, 1581, 78, 61] 1 0 30
1 [1009, 1581, 78, 61] 1 0 20
2 [1011, 1583, 78, 61] 1 0 20
3 [1014, 1584, 78, 61] 1 0 20
4 [1017, 1584, 78, 61] 1 0 20
0 [1303, 1630, 86, 77] 1 1 -18
1 [1303, 1630, 86, 77] 1 1 -16
2 [1307, 1629, 86, 77] 1 1 -16
3 [1309, 1628, 86, 77] 1 1 -16
4 [1313, 1627, 86, 77] 1 1 -16
0 [1211, 1690, 71, 56] 1 2 -29
1 [1211, 1690, 71, 56] 1 2 -26
2 [1214, 1688, 71, 56] 1 2 -26
3 [1218, 1686, 71, 56] 1 2 -26
4 [1221, 1685, 71, 56] 1 2 -26
0 [1418, 1637, 64, 65] 1 3 -32
1 [1418, 1637, 64, 65] 1 3 -33
2 [1422, 1635, 64, 65] 1 3 -33
3 [1426, 1632, 64, 65] 1 3 -33
4 [1430, 1629, 64, 65] 1 3 -33
0 [2284, 97, 82, 144] 2 5 96
1 [2284, 97, 82, 144] 2 5 94
2 [2284, 107, 82, 144] 2 5 94
3 [2282, 115, 82, 144] 2 5 94
4 [2282, 125, 82, 144] 2 5 94
0 [1231, 1391, 40, 54] 1 7 123
1 [1231, 1391, 40, 54] 1 7 135
2 [1230, 1392, 40, 54] 1 7 135
3 [1229, 1394, 40, 54] 1 7 135
4 [1227, 1395, 40, 54] 1 7 135
0 [1298, 1509, 46, 55] 2 9 0
1 [1298, 1509, 46, 55] 2 9 -4
2 [1302, 1509, 46, 55] 2 9 -4
3 [1306, 1509, 46, 55] 2 9 -4
4 [1310, 1508, 46, 55] 2 9 -4
0 [2501, 76, 50, 105] 2 16 97
1 [2501, 76, 50, 105] 2 16 96
2 [2500, 87, 50, 105] 2 16 96
3 [2498, 99, 50, 105] 2 16 96
4 [2497, 110, 50, 105] 2 16 96
