0 [2349, 255, 54, 128] 2 0 67
1 [2350, 256, 54, 128] 2 0 73
2 [2350, 257, 54, 128] 2 0 77
3 [2350, 260, 54, 128] 2 0 79
4 [2351, 263, 54, 128] 2 0 80
5 [2353, 266, 54, 128] 2 0 80
6 [2355, 269, 54, 128] 2 0 82
7 [2357, 271, 54, 128] 2 0 84
8 [2359, 275, 54, 128] 2 0 85
9 [2360, 277, 54, 128] 2 0 86
10 [2361, 283, 54, 128] 2 0 86
11 [2360, 289, 54, 128] 2 0 84
12 [2358, 294, 54, 128] 2 0 81
13 [2357, 298, 54, 128] 2 0 79
14 [2357, 302, 54, 128] 2 0 79
15 [2359, 303, 54, 128] 2 0 79
16 [2360, 309, 54, 128] 2 0 79
17 [2361, 315, 54, 128] 2 0 79
18 [2362, 323, 54, 128] 2 0 79
19 [2363, 329, 54, 128] 2 0 79
20 [2364, 334, 54, 128] 2 0 79
21 [2364, 336, 54, 128] 2 0 79
22 [2365, 341, 54, 128] 2 0 79
23 [2366, 346, 54, 128] 2 0 79
24 [2367, 351, 54, 128] 2 0 79
0 [379, 1515, 112, 108] 2 1 74
1 [380, 1516, 112, 108] 2 1 77
2 [380, 1517, 112, 108] 2 1 77
3 [379, 1519, 112, 108] 2 1 76
4 [380, 1522, 112, 108] 2 1 76
5 [380, 1524, 112, 108] 2 1 75
6 [382, 1527, 112, 108] 2 1 75
7 [383, 1529, 112, 108] 2 1 75
8 [384, 1530, 112, 108] 2 1 75
9 [384, 1531, 112, 108] 2 1 73
10 [384, 1534, 112, 108] 2 1 72
11 [385, 1538, 112, 108] 2 1 70
12 [385, 1543, 112, 108] 2 1 67
13 [386, 1546, 112, 108] 2 1 60
14 [386, 1548, 112, 108] 2 1 47
15 [387, 1549, 112, 108] 2 1 47
16 [388, 1552, 112, 108] 2 1 47
17 [390, 1556, 112, 108] 2 1 47
18 [392, 1560, 112, 108] 2 1 47
19 [393, 1563, 112, 108] 2 1 47
20 [394, 1565, 112, 108] 2 1 47
21 [394, 1565, 112, 108] 2 1 47
22 [395, 1565, 112, 108] 2 1 47
23 [397, 1566, 112, 108] 2 1 47
24 [402, 1566, 112, 108] 2 1 47
0 [700, 815, 97, 146] 2 2 -9
1 [700, 815, 97, 146] 2 2 2
2 [700, 814, 97, 146] 2 2 10
3 [700, 814, 97, 146] 2 2 13
4 [700, 815, 97, 146] 2 2 15
5 [700, 815, 97, 146] 2 2 25
6 [701, 815, 97, 146] 2 2 13
7 [702, 815, 97, 146] 2 2 6
8 [703, 814, 97, 146] 2 2 4
9 [703, 814, 97, 146] 2 2 3
10 [703, 815, 97, 146] 2 2 2
11 [703, 815, 97, 146] 2 2 2
12 [704, 815, 97, 146] 2 2 1
13 [704, 815, 97, 146] 2 2 -1
14 [704, 816, 97, 146] 2 2 -7
15 [702, 816, 97, 146] 2 2 -7
16 [705, 816, 97, 146] 2 2 -7
17 [710, 816, 97, 146] 2 2 -7
18 [716, 816, 97, 146] 2 2 -7
19 [722, 816, 97, 146] 2 2 -7
20 [725, 816, 97, 146] 2 2 -7
21 [724, 816, 97, 146] 2 2 -7
22 [723, 816, 97, 146] 2 2 -7
