3 [1888, 416, 16, 11] 1 0 178
4 [1888, 416, 16, 11] 1 0 177
5 [1888, 416, 16, 11] 1 0 177
6 [1886, 416, 16, 11] 1 0 176
7 [1885, 416, 16, 11] 1 0 177
8 [1883, 416, 16, 11] 1 0 177
9 [1881, 416, 16, 11] 1 0 177
10 [1879, 416, 16, 11] 1 0 176
11 [1877, 415, 16, 11] 1 0 176
12 [1875, 416, 16, 11] 1 0 174
13 [1873, 416, 16, 11] 1 0 173
14 [1871, 416, 16, 11] 1 0 173
15 [1869, 416, 16, 11] 1 0 175
16 [1867, 417, 16, 11] 1 0 175
17 [1865, 417, 16, 11] 1 0 176
18 [1864, 417, 16, 11] 1 0 177
19 [1861, 416, 16, 11] 1 0 179
20 [1860, 417, 16, 11] 1 0 -177
21 [1858, 417, 16, 11] 1 0 -174
22 [1857, 417, 16, 11] 1 0 -170
23 [1856, 418, 16, 11] 1 0 -168
24 [1855, 418, 16, 11] 1 0 -166
25 [1853, 418, 16, 11] 1 0 -167
26 [1851, 418, 16, 11] 1 0 -167
27 [1849, 417, 16, 11] 1 0 -168
28 [1847, 417, 16, 11] 1 0 -169
29 [1845, 417, 16, 11] 1 0 -170
30 [1843, 416, 16, 11] 1 0 -172
31 [1841, 415, 16, 11] 1 0 -175
32 [1839, 414, 16, 11] 1 0 -177
33 [1837, 414, 16, 11] 1 0 -178
34 [1835, 413, 16, 11] 1 0 179
35 [1833, 413, 16, 11] 1 0 179
36 [1831, 414, 16, 11] 1 0 178
37 [1830, 414, 16, 11] 1 0 178
38 [1828, 414, 16, 11] 1 0 178
39 [1826, 414, 16, 11] 1 0 178
40 [1825, 414, 16, 11] 1 0 177
41 [1823, 414, 16, 11] 1 0 176
42 [1822, 414, 16, 11] 1 0 174
43 [1820, 413, 16, 11] 1 0 173
44 [1817, 414, 16, 11] 1 0 173
45 [1815, 414, 16, 11] 1 0 172
46 [1812, 414, 16, 11] 1 0 173
47 [1810, 414, 16, 11] 1 0 173
48 [1808, 414, 16, 11] 1 0 172
49 [1806, 414, 16, 11] 1 0 172
50 [1804, 414, 16, 11] 1 0 173
51 [1801, 415, 16, 11] 1 0 174
52 [1800, 416, 16, 11] 1 0 176
53 [1798, 416, 16, 11] 1 0 178
54 [1796, 416, 16, 11] 1 0 179
55 [1794, 416, 16, 11] 1 0 179
56 [1793, 416, 16, 11] 1 0 179
57 [1792, 416, 16, 11] 1 0 179
58 [1790, 416, 16, 11] 1 0 179
59 [1788, 416, 16, 11] 1 0 179
60 [1787, 416, 16, 11] 1 0 179
61 [1785, 416, 16, 11] 1 0 179
62 [1783, 417, 16, 11] 1 0 -179
63 [1780, 417, 16, 11] 1 0 179
64 [1778, 417, 16, 11] 1 0 177
65 [1775, 417, 16, 11] 1 0 177
66 [1773, 417, 16, 11] 1 0 175
67 [1772, 417, 16, 11] 1 0 176
68 [1770, 417, 16, 11] 1 0 175
69 [1768, 417, 16, 11] 1 0 173
70 [1766, 417, 16, 11] 1 0 171
71 [1764, 416, 16, 11] 1 0 169
72 [1762, 417, 16, 11] 1 0 168
73 [1760, 417, 16, 11] 1 0 169
74 [1759, 417, 16, 11] 1 0 170
75 [1758, 417, 16, 11] 1 0 170
76 [1757, 418, 16, 11] 1 0 169
77 [1755, 418, 16, 11] 1 0 167
78 [1752, 418, 16, 11] 1 0 166
79 [1750, 418, 16, 11] 1 0 167
80 [1749, 419, 16, 11] 1 0 169
81 [1747, 420, 16, 11] 1 0 170
82 [1744, 420, 16, 11] 1 0 171
83 [1742, 420, 16, 11] 1 0 169
84 [1741, 420, 16, 11] 1 0 169
85 [1739, 421, 16, 11] 1 0 170
86 [1736, 422, 16, 11] 1 0 173
87 [1734, 422, 16, 11] 1 0 172
88 [1732, 423, 16, 11] 1 0 178
89 [1731, 423, 16, 11] 1 0 -178
90 [1730, 422, 16, 11] 1 0 -177
91 [1729, 423, 16, 11] 1 0 -177
92 [1727, 423, 16, 11] 1 0 -177
93 [1725, 423, 16, 11] 1 0 -176
94 [1723, 423, 16, 11] 1 0 -175
95 [1722, 424, 16, 11] 1 0 -175
96 [1720, 424, 16, 11] 1 0 -174
97 [1722, 424, 16, 11] 1 0 -174
98 [1713, 423, 16, 11] 1 0 -173
99 [1698, 422, 16, 11] 1 0 -173
100 [1681, 421, 16, 11] 1 0 -24
101 [1666, 420, 16, 11] 1 0 -24
102 [1659, 419, 16, 11] 1 0 -24
103 [1664, 420, 16, 11] 1 0 -24
104 [1663, 419, 16, 11] 1 0 -24
105 [1664, 419, 16, 11] 1 0 -24
106 [1664, 418, 16, 11] 1 0 -24
107 [1662, 418, 16, 11] 1 0 -24
108 [1662, 418, 16, 11] 1 0 -24
109 [1667, 418, 16, 11] 1 0 -24
110 [1683, 420, 16, 11] 1 0 -24
